Loading network for case 'demoVerbundnetz_SimulationNeu' from data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus...
Loading VICUS file: data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus
Parsed Simultaneity Spline: 63 points.
data/test_scenarios/complex/demoVerbundnetz_SimulationNeu.vicus
Found peak day: day 24 (hours 552-575) with peak=7400.0000
Force-selected profile: Residential_SingleFamily_HeatingLoad.tsv (peak day extraction, resampled to 96 steps)
Peak day profile plot saved to output/peak_day_profile.png
Created 692 consumers and 1594 relevant optimization edges.

--- Starting Optimization using Scheme 'v4' for demoVerbundnetz_SimulationNeu ---
Initial weighted error (using v4): 1580050.223118
Average target simultaneity: 0.8569
  Iter 0: Obj=1580050.931272 (Fit: 1580050.223118, Reg: 0.708153) | LR: 0.000000
  Iter 200: Obj=28082.221430 (Fit: 28076.715229, Reg: 5.506201) | LR: 0.000019
  Iter 400: Obj=21020.439705 (Fit: 21012.210345, Reg: 8.229360) | LR: 0.000023
  Iter 600: Obj=20016.983329 (Fit: 20007.809095, Reg: 9.174233) | LR: 0.000024
  Iter 800: Obj=19776.572700 (Fit: 19767.022962, Reg: 9.549737) | LR: 0.000024
  Iter 1000: Obj=19691.743979 (Fit: 19682.007961, Reg: 9.736018) | LR: 0.000024
  Iter 1200: Obj=19642.411830 (Fit: 19632.532340, Reg: 9.879490) | LR: 0.000024
  Iter 1400: Obj=19608.850586 (Fit: 19598.855666, Reg: 9.994920) | LR: 0.000024
  Iter 1600: Obj=19590.321138 (Fit: 19580.249037, Reg: 10.072101) | LR: 0.000024
  Iter 1800: Obj=19578.203575 (Fit: 19568.071201, Reg: 10.132374) | LR: 0.000024
Final Error: 19571.993354

================================================================================
OPTIMIZATION RESULTS
================================================================================

OPTIMIZED EDGES (n_consumers > 1): 816 edges
--------------------------------------------------------------------------------
Edge ID              | n_e   | Target g(n)  | Achieved g   | Deviation 
4963->5401           | 34    | 0.8312       | 0.6949       | -0.1363   
7966->6894           | 34    | 0.8312       | 0.6437       | -0.1875   
6894->8005           | 34    | 0.8312       | 0.6437       | -0.1875   
5401->5566           | 33    | 0.8374       | 0.7188       | -0.1186   
6881->6784           | 33    | 0.8374       | 0.7164       | -0.1210   
6891->7775           | 33    | 0.8374       | 0.6338       | -0.2036   
8005->6895           | 33    | 0.8374       | 0.6859       | -0.1515   
6895->6896           | 33    | 0.8374       | 0.6859       | -0.1515   
6896->6897           | 33    | 0.8374       | 0.6859       | -0.1515   
6897->7009           | 33    | 0.8374       | 0.6859       | -0.1515   
5566->5989           | 32    | 0.8435       | 0.7366       | -0.1069   
7775->7709           | 32    | 0.8435       | 0.6491       | -0.1944   
7009->6898           | 32    | 0.8435       | 0.7243       | -0.1192   
4961->5995           | 31    | 0.8497       | 0.7199       | -0.1298   
5989->5194           | 31    | 0.8497       | 0.7638       | -0.0860   
7709->8002           | 31    | 0.8497       | 0.6660       | -0.1837   
5995->5322           | 30    | 0.8560       | 0.7375       | -0.1185   
5262->6287           | 30    | 0.8560       | 0.5970       | -0.2590   
8002->6933           | 30    | 0.8560       | 0.6773       | -0.1787   
6933->7926           | 30    | 0.8560       | 0.6773       | -0.1787   
5322->5325           | 29    | 0.8623       | 0.7551       | -0.1072   
6287->5454           | 29    | 0.8623       | 0.6127       | -0.2496   
6784->7593           | 29    | 0.8623       | 0.7347       | -0.1276   
7926->7038           | 29    | 0.8623       | 0.7134       | -0.1489   
5325->6118           | 28    | 0.8686       | 0.7694       | -0.0993   
5154->5807           | 28    | 0.8686       | 0.6700       | -0.1986   
5454->5666           | 28    | 0.8686       | 0.6292       | -0.2395   
7593->7605           | 28    | 0.8686       | 0.7941       | -0.0745   
6898->7845           | 28    | 0.8686       | 0.7105       | -0.1581   
6118->4962           | 27    | 0.8749       | 0.7845       | -0.0904   
4962->5496           | 27    | 0.8749       | 0.7845       | -0.0904   
5807->5841           | 27    | 0.8749       | 0.7416       | -0.1334   
5666->5237           | 27    | 0.8749       | 0.6588       | -0.2161   
